DATE,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
29-10-2019,284.9,278.6,280.5,1831074,15312
27-10-2019,285.9,280.35,282.05,592108,9450
25-10-2019,284,263.6,281.6,5552179,41244
24-10-2019,277.65,248.8,262.7,2991580,23034
23-10-2019,277.7,268.8,275.5,1197684,9680
22-10-2019,274.95,268.6,270.45,1330438,9754
18-10-2019,271.2,263.5,269.65,1770184,11471
17-10-2019,266.1,255.85,265.45,1695780,12939
16-10-2019,261.85,255.05,255.9,1786459,10700
15-10-2019,259.9,254.75,258.4,1166418,10768
14-10-2019,259.35,254.1,255.45,1071347,9270
11-10-2019,261.4,251.6,254.5,2074551,16739
10-10-2019,259,252.7,254.05,1638667,12939
09-10-2019,262,244.35,260.9,2783279,26477
07-10-2019,253.4,246.6,249,2033866,15802
04-10-2019,260.5,248.6,249.9,3261583,27356
03-10-2019,260.7,250.15,255,4848548,23903
01-10-2019,275.5,245.65,256,4976408,34595
30-09-2019,283.3,270.1,270.9,1809505,14560
27-09-2019,286.05,280,281.25,1793222,12164
26-09-2019,289.7,277,281.9,3447677,21856
25-09-2019,299.4,278.6,280.15,2970811,30337
24-09-2019,315,301,302.45,1712432,14500
23-09-2019,315.5,300.4,313.6,3682690,27611
20-09-2019,307.6,268.55,301.7,4417530,31441
19-09-2019,280.5,273.2,274.05,1126938,8332
18-09-2019,282.85,274.5,280.5,1000704,9616
17-09-2019,286.35,273.1,273.9,1084815,10776
16-09-2019,290.45,284.05,284.65,824210,8088
13-09-2019,292.4,282.1,291.7,970245,10622
11-09-2019,285.85,278.45,285.3,743599,8779
09-09-2019,278.6,271.5,277.9,998548,6992
06-09-2019,277,272.25,273.95,619789,5930
05-09-2019,276.3,271.15,273.15,1163219,6977
04-09-2019,275.75,267.6,274.95,2238035,9404
03-09-2019,271.9,267.15,268.35,1047142,9049
30-08-2019,277.9,266.95,273.7,1911077,15812
29-08-2019,284.3,273.5,274.65,906601,10440
28-08-2019,287.25,282.2,284.9,915588,6947
27-08-2019,288,282.75,285.7,3226219,16573
26-08-2019,288,270.05,280.25,5094718,21253
23-08-2019,275.05,262.7,271.1,1261096,9749
22-08-2019,278,267.3,268.4,953867,9114
21-08-2019,285.8,276.4,277.4,977952,9780
20-08-2019,287.55,280.85,283.65,844230,7920
19-08-2019,292.65,286.1,286.7,716842,6361
16-08-2019,292.6,284.3,290.95,7291861,7831
14-08-2019,291.25,284.35,289.85,767771,6478
13-08-2019,292.1,282.6,283.4,851714,9080
09-08-2019,297.95,290.2,291.35,1054810,8399
08-08-2019,295.4,285.65,294.3,1092000,11009
07-08-2019,303.05,288.85,289.95,1228606,11497
06-08-2019,304.35,297.5,301.25,1702032,9808
05-08-2019,302.85,292,300.25,1993140,17543
01-08-2019,331.55,311.5,317.2,1435145,15063
31-07-2019,333.1,323.9,332.05,863474,11064
30-07-2019,346.7,325.85,327.5,980143,11095
29-07-2019,346.6,336.95,343.65,665510,6389
26-07-2019,346.1,340.85,342.5,728342,7031
25-07-2019,343.2,337.55,341.4,684937,5424
24-07-2019,344.75,336.3,339.65,766187,7656
23-07-2019,353.1,341.05,342.05,929840,10996
22-07-2019,359.5,348.8,350.8,1051694,10038
19-07-2019,365.9,355.15,356,533455,6597
18-07-2019,373.7,362.6,363.65,842441,7242
17-07-2019,373.5,363.2,372.15,652963,7557
16-07-2019,365.85,357.55,364.25,467513,5638
15-07-2019,364.65,357.6,359.95,1135189,7669
12-07-2019,366.4,361.5,363.55,472281,5623
11-07-2019,364,357.05,363.1,738643,5886
10-07-2019,361.7,351.35,354.2,1309501,9846
09-07-2019,360,352.6,359.15,840451,8507
08-07-2019,368.9,353.55,355.25,901026,12106
05-07-2019,373.4,366,370.6,1784869,15203
04-07-2019,370.7,366.3,367.3,849228,9234
03-07-2019,366.55,363.15,366.15,484847,8363
02-07-2019,365,360.35,364.5,530796,7068
01-07-2019,362.95,358.55,361.5,385010,4705
28-06-2019,364.85,358.9,360.9,757668,6414
27-06-2019,363,357.4,362.05,825941,7492
26-06-2019,359,354.65,358,638202,6218
25-06-2019,356.9,351.25,356.5,591162,6451
24-06-2019,354.55,349.75,353.25,839158,6670
21-06-2019,350.45,343.25,349.45,840865,7777
20-06-2019,346.2,335.8,345.05,688573,9057
19-06-2019,345.1,335.7,338.85,566810,5912
18-06-2019,343.9,333.75,340.25,1181672,8158
17-06-2019,343.9,337.05,337.75,505325,4758
14-06-2019,346.35,342.7,343.85,556440,3875
13-06-2019,347,339.55,346.3,1997665,7231
12-06-2019,347.35,342.5,344.2,636710,4643
11-06-2019,348.2,342.85,347.35,799537,6235
10-06-2019,347.5,339.9,343.4,1179734,10077
07-06-2019,342.35,335.85,341.65,1187491,8956
06-06-2019,349.8,336.1,337.05,1463518,11680
04-06-2019,357.15,351.35,352.35,2138824,9283
03-06-2019,355.55,349.8,354.9,1028901,9413
31-05-2019,357.8,345,352.55,1309018,16556
30-05-2019,354.9,347.6,353.65,1041082,8188
29-05-2019,359,347.2,348.55,1072362,10961
28-05-2019,361.5,356.7,360.4,1311058,10340
27-05-2019,362.2,354,361.45,1801457,13239
24-05-2019,356,343.5,354.6,2400864,17547
23-05-2019,364,339.2,342.3,4157235,34462
22-05-2019,342.8,333.55,340.85,1969361,10018
21-05-2019,347.1,336.15,337.55,5921841,18144
20-05-2019,346.1,330.75,344.6,3409600,28146
17-05-2019,321.6,313.3,318.95,922507,6979
16-05-2019,316.85,309.5,315.2,907009,6005
15-05-2019,317.75,310.2,311.6,1670626,9517
14-05-2019,316.05,305.05,313.9,1364050,9602
13-05-2019,314.4,305.1,306.75,1903014,13247
10-05-2019,310.7,292.2,308.05,3616120,24012
09-05-2019,300.95,295.95,299.25,1254416,6573
08-05-2019,305.45,297,298.1,1347901,6784
07-05-2019,312.3,304.05,305.85,1896017,8832
06-05-2019,310,305.9,308.7,614890,4230
03-05-2019,311.5,308.1,309.15,2895175,6592
02-05-2019,311.35,305.6,307.45,1414777,8650
30-04-2019,312.5,305,310.2,641470,5274
26-04-2019,313.25,306.45,312.3,714393,5338
25-04-2019,312.05,305.7,306.3,575028,5839
24-04-2019,311.85,303.6,310.7,737115,6579
23-04-2019,313.55,304.9,305.65,760962,5660
22-04-2019,312.4,306.5,310,819602,7008
18-04-2019,315.9,308.1,310.9,708133,5402
16-04-2019,319.3,314.95,315.8,843477,5032
15-04-2019,318.5,314.1,315.65,584068,4978
12-04-2019,316.5,311.5,315.3,655701,4992
11-04-2019,315,308.95,314.7,815753,5717
10-04-2019,317.25,310.5,311.2,864801,11955
09-04-2019,315.95,308.1,315.15,1568338,8163
08-04-2019,319.3,311.25,312.8,757492,5601
05-04-2019,323.6,314.65,317,1136364,7417
04-04-2019,325.55,318.55,321.7,1046914,9530
03-04-2019,332.65,319.55,320.65,1202674,8890
02-04-2019,330.5,321.9,328.55,1270507,10689
01-04-2019,327.5,321.2,322.8,1131983,10033
29-03-2019,322.95,316.7,320.8,1443769,10099
28-03-2019,319.9,309.15,318.4,2524781,18188
27-03-2019,310.7,304.3,308.05,2323321,14127
26-03-2019,305.95,294.05,303.3,2237048,8034
25-03-2019,295,292.4,293.8,2288397,7027
22-03-2019,306.3,297,298.1,1756380,6625
20-03-2019,304.7,299.85,303.45,1777827,12656
19-03-2019,306.2,299,302.75,1955315,11760
18-03-2019,300.75,294.3,298.45,3018009,11174
15-03-2019,300.5,292.05,297.7,2317993,13472
