Date,Symbol,Series,PrevClose,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,DeliverableVolume,Deliverble
14-01-2008,KOTAKBANK,EQ,1233.65,1233.65,1286,1215,1277.55,1280.3,1265.78,910659,1.15269E+14,,422572,0.464
15-01-2008,KOTAKBANK,EQ,1280.3,1240.15,1318,1240.15,1262.95,1265.2,1290.4,597359,7.70834E+13,,220448,0.369
16-01-2008,KOTAKBANK,EQ,1265.2,1258,1258,1186,1251.9,1243.4,1228.19,779515,9.5739E+13,,339538,0.4356
17-01-2008,KOTAKBANK,EQ,1243.4,1257.95,1288.45,1220.05,1265.9,1262.5,1251.65,674959,8.44811E+13,,308373,0.4569
18-01-2008,KOTAKBANK,EQ,1262.5,1205.65,1260,1100,1134,1126.6,1181.73,1001748,1.1838E+14,,506337,0.5055
21-01-2008,KOTAKBANK,EQ,1126.6,1120,1139.9,860,985,963.7,1022,1602273,1.63752E+14,,934131,0.583
22-01-2008,KOTAKBANK,EQ,963.7,930,1049.7,800,999,1011.3,894.59,2302467,2.05977E+14,,1854893,0.8056
23-01-2008,KOTAKBANK,EQ,1011.3,1208.8,1208.8,1022,1109.8,1103.7,1066.04,3292822,3.51027E+14,,2704849,0.8214
24-01-2008,KOTAKBANK,EQ,1103.7,1140,1164,969.05,1053.5,1052.9,1065.03,1367934,1.4569E+14,,821995,0.6009
25-01-2008,KOTAKBANK,EQ,1052.9,940.05,1109.8,940.05,1090,1087.65,1089.57,849089,9.2514E+13,,554819,0.6534
28-01-2008,KOTAKBANK,EQ,1087.65,1090,1125,1018,1104,1090.35,1057.17,827923,8.75259E+13,,439343,0.5307
29-01-2008,KOTAKBANK,EQ,1090.35,1145,1149.7,1011,1083.9,1088.1,1074.88,895649,9.62713E+13,,507138,0.5662
30-01-2008,KOTAKBANK,EQ,1088.1,1050.3,1098.9,1022.05,1035.4,1041.55,1054.26,356385,3.75724E+13,,164999,0.463
31-01-2008,KOTAKBANK,EQ,1041.55,1044.7,1083.8,1000,1010.1,1028.6,1040.75,948608,9.8726E+13,,526487,0.555
01-02-2008,KOTAKBANK,EQ,1028.6,1035,1047,958.35,962,972.65,989.94,1850527,1.83191E+14,,1391208,0.7518
04-02-2008,KOTAKBANK,EQ,972.65,985,1013.7,972.65,986.35,986.35,995.86,812133,8.08774E+13,,392065,0.4828
